Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	GT Support	SF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36								
3A	22	VREFB3AN0	IO	CLK_3A_0p		LVDS3A_13p	No		BD24	DQ124	DQ62	DQ31	DQ15								
3A	21	VREFB3AN0	IO			LVDS3A_14n	Yes		BB25	DQSn124	DQ62	DQ31	DQSn15/CQn15								
3A	20	VREFB3AN0	IO			LVDS3A_14p	Yes		BC25	DQS124	DQ62	DQ31	DQS15/CQ15								
3A	19	VREFB3AN0	IO	PLL_3A_CLKOUT0n		LVDS3A_15n	No		BD23	DQ124	DQ62	DQ31	DQ15								
3A	18	VREFB3AN0	IO	"PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0"		LVDS3A_15p	No		BC23	DQ124	DQ62	DQ31	DQ15								
3A	17	VREFB3AN0	IO			LVDS3A_16n	Yes		BA23	DQSn125	DQSn62/CQn62	DQ31	DQ15								
3A	16	VREFB3AN0	IO			LVDS3A_16p	Yes		BB23	DQS125	DQS62/CQ62	DQ31	DQ15								
3A	15	VREFB3AN0	IO			LVDS3A_17n	No		BC26	DQ125	DQ62	DQ31	DQ15								
3A	14	VREFB3AN0	IO			LVDS3A_17p	No		BD26	DQ125	DQ62	DQ31	DQ15								
3A	13	VREFB3AN0	IO			LVDS3A_18n	Yes		BB22	DQ125	DQ62	DQSn31/CQn31	DQ15								
3A	12	VREFB3AN0	IO			LVDS3A_18p	Yes		BA22	DQ125	DQ62	DQS31/CQ31	DQ15								
3A	11	VREFB3AN0	IO			LVDS3A_19n	No		BD22	DQ126	DQ63	DQ31	DQ15								
3A	10	VREFB3AN0	IO			LVDS3A_19p	No		BD21	DQ126	DQ63	DQ31	DQ15								
3A	9	VREFB3AN0	IO			LVDS3A_20n	Yes		BD19	DQSn126	DQ63	DQ31	DQ15								
3A	8	VREFB3AN0	IO			LVDS3A_20p	Yes		BC19	DQS126	DQ63	DQ31	DQ15								
3A	7	VREFB3AN0	IO			LVDS3A_21n	No		BA20	DQ126	DQ63	DQ31	DQ15								
3A	6	VREFB3AN0	IO			LVDS3A_21p	No		BA19	DQ126	DQ63	DQ31	DQ15								
3A	5	VREFB3AN0	IO			LVDS3A_22n	Yes		BA18	DQSn127	DQSn63/CQn63	DQ31	DQ15								
3A	4	VREFB3AN0	IO			LVDS3A_22p	Yes		BA17	DQS127	DQS63/CQ63	DQ31	DQ15								
3A	3	VREFB3AN0	IO			LVDS3A_23n	No		BB21	DQ127	DQ63	DQ31	DQ15								
3A	2	VREFB3AN0	IO			LVDS3A_23p	No		BC21	DQ127	DQ63	DQ31	DQ15								
3A	1	VREFB3AN0	IO			LVDS3A_24n	Yes		BB20	DQ127	DQ63	DQ31	DQ15								
3A	0	VREFB3AN0	IO			LVDS3A_24p	Yes		BC20	DQ127	DQ63	DQ31	DQ15								
4H			REFCLK_GXBR4H_CHTp						L8												
4H			REFCLK_GXBR4H_CHTn						L7												
4H			GXBR4H_TX_CH5n						A8												
4H			GXBR4H_TX_CH5p						A7												
4H			"GXBR4H_RX_CH5n,GXBR4H_REFCLK5n"						C8												
4H			"GXBR4H_RX_CH5p,GXBR4H_REFCLK5p"						C7												
4H			GXBR4H_TX_CH4n						B6												
4H			GXBR4H_TX_CH4p						B5												
4H			"GXBR4H_RX_CH4n,GXBR4H_REFCLK4n"						D6												
4H			"GXBR4H_RX_CH4p,GXBR4H_REFCLK4p"						D5												
4H			GXBR4H_TX_CH3n						A4												
4H			GXBR4H_TX_CH3p						A3												
4H			"GXBR4H_RX_CH3n,GXBR4H_REFCLK3n"						E8												
4H			"GXBR4H_RX_CH3p,GXBR4H_REFCLK3p"						E7												
4H			GXBR4H_TX_CH2n						B2												
4H			GXBR4H_TX_CH2p						B1												
4H			"GXBR4H_RX_CH2n,GXBR4H_REFCLK2n"						F6												
4H			"GXBR4H_RX_CH2p,GXBR4H_REFCLK2p"						F5												
4H			GXBR4H_TX_CH1n						C4												
4H			GXBR4H_TX_CH1p						C3												
4H			"GXBR4H_RX_CH1n,GXBR4H_REFCLK1n"						G8												
4H			"GXBR4H_RX_CH1p,GXBR4H_REFCLK1p"						G7												
4H			GXBR4H_TX_CH0n						D2												
4H			GXBR4H_TX_CH0p						D1												
4H			"GXBR4H_RX_CH0n,GXBR4H_REFCLK0n"						H6												
4H			"GXBR4H_RX_CH0p,GXBR4H_REFCLK0p"						H5												
4H			REFCLK_GXBR4H_CHBp						N8												
4H			REFCLK_GXBR4H_CHBn						N7												
4G			REFCLK_GXBR4G_CHTp						R8												
4G			REFCLK_GXBR4G_CHTn						R7												
4G			GXBR4G_TX_CH5n						E4												
4G			GXBR4G_TX_CH5p						E3												
4G			"GXBR4G_RX_CH5n,GXBR4G_REFCLK5n"						K6												
4G			"GXBR4G_RX_CH5p,GXBR4G_REFCLK5p"						K5												
4G			GXBR4G_TX_CH4n						F2												
4G			GXBR4G_TX_CH4p						F1												
4G			"GXBR4G_RX_CH4n,GXBR4G_REFCLK4n"						L4												
4G			"GXBR4G_RX_CH4p,GXBR4G_REFCLK4p"						L3												
4G			GXBR4G_TX_CH3n						G4												
4G			GXBR4G_TX_CH3p						G3												
4G			"GXBR4G_RX_CH3n,GXBR4G_REFCLK3n"						M6												
4G			"GXBR4G_RX_CH3p,GXBR4G_REFCLK3p"						M5												
4G			GXBR4G_TX_CH2n						H2												
4G			GXBR4G_TX_CH2p						H1												
4G			"GXBR4G_RX_CH2n,GXBR4G_REFCLK2n"						N4												
4G			"GXBR4G_RX_CH2p,GXBR4G_REFCLK2p"						N3												
4G			GXBR4G_TX_CH1n						J4												
4G			GXBR4G_TX_CH1p						J3												
4G			"GXBR4G_RX_CH1n,GXBR4G_REFCLK1n"						P6												
4G			"GXBR4G_RX_CH1p,GXBR4G_REFCLK1p"						P5												
4G			GXBR4G_TX_CH0n						K2												
4G			GXBR4G_TX_CH0p						K1												
4G			"GXBR4G_RX_CH0n,GXBR4G_REFCLK0n"						R4												
4G			"GXBR4G_RX_CH0p,GXBR4G_REFCLK0p"						R3												
4G			REFCLK_GXBR4G_CHBp						U8												
4G			REFCLK_GXBR4G_CHBn						U7												
4F			REFCLK_GXBR4F_CHTp						W8												
4F			REFCLK_GXBR4F_CHTn						W7												
4F			GXBR4F_TX_CH5n						M2												
4F			GXBR4F_TX_CH5p						M1												
4F			"GXBR4F_RX_CH5n,GXBR4F_REFCLK5n"						T6												
4F			"GXBR4F_RX_CH5p,GXBR4F_REFCLK5p"						T5												
4F			GXBR4F_TX_CH4n						P2												
4F			GXBR4F_TX_CH4p						P1												
4F			"GXBR4F_RX_CH4n,GXBR4F_REFCLK4n"						U4												
4F			"GXBR4F_RX_CH4p,GXBR4F_REFCLK4p"						U3												
4F			GXBR4F_TX_CH3n						T2												
4F			GXBR4F_TX_CH3p						T1												
4F			"GXBR4F_RX_CH3n,GXBR4F_REFCLK3n"						V6												
4F			"GXBR4F_RX_CH3p,GXBR4F_REFCLK3p"						V5												
4F			GXBR4F_TX_CH2n						V2												
4F			GXBR4F_TX_CH2p						V1												
4F			"GXBR4F_RX_CH2n,GXBR4F_REFCLK2n"						Y6												
4F			"GXBR4F_RX_CH2p,GXBR4F_REFCLK2p"						Y5												
4F			GXBR4F_TX_CH1n						Y2												
4F			GXBR4F_TX_CH1p						Y1												
4F			"GXBR4F_RX_CH1n,GXBR4F_REFCLK1n"						W4												
4F			"GXBR4F_RX_CH1p,GXBR4F_REFCLK1p"						W3												
4F			GXBR4F_TX_CH0n						AB2												
4F			GXBR4F_TX_CH0p						AB1												
4F			"GXBR4F_RX_CH0n,GXBR4F_REFCLK0n"						AA4												
4F			"GXBR4F_RX_CH0p,GXBR4F_REFCLK0p"						AA3												
4F			REFCLK_GXBR4F_CHBp						AA8												
4F			REFCLK_GXBR4F_CHBn						AA7												
4E			REFCLK_GXBR4E_CHTp						AC8												
4E			REFCLK_GXBR4E_CHTn						AC7												
4E			GXBR4E_TX_CH5n						AD2												
4E			GXBR4E_TX_CH5p						AD1												
4E			"GXBR4E_RX_CH5n,GXBR4E_REFCLK5n"						AB6												
4E			"GXBR4E_RX_CH5p,GXBR4E_REFCLK5p"						AB5												
4E			GXBR4E_TX_CH4n						AF2												
4E			GXBR4E_TX_CH4p						AF1												
4E			"GXBR4E_RX_CH4n,GXBR4E_REFCLK4n"						AC4												
4E			"GXBR4E_RX_CH4p,GXBR4E_REFCLK4p"						AC3												
4E			GXBR4E_TX_CH3n						AH2												
4E			GXBR4E_TX_CH3p						AH1												
4E			"GXBR4E_RX_CH3n,GXBR4E_REFCLK3n"						AD6												
4E			"GXBR4E_RX_CH3p,GXBR4E_REFCLK3p"						AD5												
4E			GXBR4E_TX_CH2n						AK2												
4E			GXBR4E_TX_CH2p						AK1												
4E			"GXBR4E_RX_CH2n,GXBR4E_REFCLK2n"						AE4												
4E			"GXBR4E_RX_CH2p,GXBR4E_REFCLK2p"						AE3												
4E			GXBR4E_TX_CH1n						AM2												
4E			GXBR4E_TX_CH1p						AM1												
4E			"GXBR4E_RX_CH1n,GXBR4E_REFCLK1n"						AF6												
4E			"GXBR4E_RX_CH1p,GXBR4E_REFCLK1p"						AF5												
4E			GXBR4E_TX_CH0n						AP2												
4E			GXBR4E_TX_CH0p						AP1												
4E			"GXBR4E_RX_CH0n,GXBR4E_REFCLK0n"						AG4												
4E			"GXBR4E_RX_CH0p,GXBR4E_REFCLK0p"						AG3												
4E			REFCLK_GXBR4E_CHBp						AE8												
4E			REFCLK_GXBR4E_CHBn						AE7												
4D			REFCLK_GXBR4D_CHTp						AG8												
4D			REFCLK_GXBR4D_CHTn						AG7												
4D			GXBR4D_TX_CH5n						AR4												
4D			GXBR4D_TX_CH5p						AR3												
4D			"GXBR4D_RX_CH5n,GXBR4D_REFCLK5n"						AH6												
4D			"GXBR4D_RX_CH5p,GXBR4D_REFCLK5p"						AH5												
4D			GXBR4D_TX_CH4n						AT2												
4D			GXBR4D_TX_CH4p						AT1												
4D			"GXBR4D_RX_CH4n,GXBR4D_REFCLK4n"						AJ4												
4D			"GXBR4D_RX_CH4p,GXBR4D_REFCLK4p"						AJ3												
4D			GXBR4D_TX_CH3n						AU4												
4D			GXBR4D_TX_CH3p						AU3												
4D			"GXBR4D_RX_CH3n,GXBR4D_REFCLK3n"						AK6												
4D			"GXBR4D_RX_CH3p,GXBR4D_REFCLK3p"						AK5												
4D			GXBR4D_TX_CH2n						AV2												
4D			GXBR4D_TX_CH2p						AV1												
4D			"GXBR4D_RX_CH2n,GXBR4D_REFCLK2n"						AL4												
4D			"GXBR4D_RX_CH2p,GXBR4D_REFCLK2p"						AL3												
4D			GXBR4D_TX_CH1n						AW4												
4D			GXBR4D_TX_CH1p						AW3												
4D			"GXBR4D_RX_CH1n,GXBR4D_REFCLK1n"						AM6												
4D			"GXBR4D_RX_CH1p,GXBR4D_REFCLK1p"						AM5												
4D			GXBR4D_TX_CH0n						AY2												
4D			GXBR4D_TX_CH0p						AY1												
4D			"GXBR4D_RX_CH0n,GXBR4D_REFCLK0n"						AN4												
4D			"GXBR4D_RX_CH0p,GXBR4D_REFCLK0p"						AN3												
4D			REFCLK_GXBR4D_CHBp						AJ8												
4D			REFCLK_GXBR4D_CHBn						AJ7												
4C			REFCLK_GXBR4C_CHTp						AL8												
4C			REFCLK_GXBR4C_CHTn						AL7												
4C			GXBR4C_TX_CH5n						BA4												
4C			GXBR4C_TX_CH5p						BA3												
4C			"GXBR4C_RX_CH5n,GXBR4C_REFCLK5n"						AP6												
4C			"GXBR4C_RX_CH5p,GXBR4C_REFCLK5p"						AP5												
4C			GXBR4C_TX_CH4n						BB2												
4C			GXBR4C_TX_CH4p						BB1												
4C			"GXBR4C_RX_CH4n,GXBR4C_REFCLK4n"						AT6												
4C			"GXBR4C_RX_CH4p,GXBR4C_REFCLK4p"						AT5												
4C			GXBR4C_TX_CH3n						BC4												
4C			GXBR4C_TX_CH3p						BC3												
4C			"GXBR4C_RX_CH3n,GXBR4C_REFCLK3n"						AV6												
4C			"GXBR4C_RX_CH3p,GXBR4C_REFCLK3p"						AV5												
4C			GXBR4C_TX_CH2n						BB6												
4C			GXBR4C_TX_CH2p						BB5												
4C			"GXBR4C_RX_CH2n,GXBR4C_REFCLK2n"						AY6												
4C			"GXBR4C_RX_CH2p,GXBR4C_REFCLK2p"						AY5												
4C			GXBR4C_TX_CH1n						BD6												
4C			GXBR4C_TX_CH1p						BD5												
4C			"GXBR4C_RX_CH1n,GXBR4C_REFCLK1n"						BA8												
4C			"GXBR4C_RX_CH1p,GXBR4C_REFCLK1p"						BA7												
4C			GXBR4C_TX_CH0n						BC8												
4C			GXBR4C_TX_CH0p						BC7												
4C			"GXBR4C_RX_CH0n,GXBR4C_REFCLK0n"						AW8												
4C			"GXBR4C_RX_CH0p,GXBR4C_REFCLK0p"						AW7												
4C			REFCLK_GXBR4C_CHBp						AN8												
4C			REFCLK_GXBR4C_CHBn						AN7												
			GND						AM22												
CSS			TDO		TDO				AL29												
CSS			TMS		TMS				AL24												
CSS			TRST		TRST				AL30												
CSS			TCK		TCK				AM21												
CSS			TDI		TDI				AN21												
CSS			MSEL0		MSEL0				AN26												
CSS			MSEL1		MSEL1				AL28												
CSS			MSEL2		MSEL2				AK25												
CSS			nIO_PULLUP		nIO_PULLUP				AN24												
CSS			nSTATUS		nSTATUS				AN29												
CSS			CONF_DONE		CONF_DONE				AP27												
			GND						AM28												
CSS			nCONFIG		nCONFIG				AK30												
CSS			nCE		nCE				AM25												
CSS			nCSO0		nCSO0				AM23												
CSS			nCSO1		nCSO1				AN25												
CSS			nCSO2		nCSO2				AM27												
CSS			"AS_DATA0,ASDO"		"AS_DATA0,ASDO"				AL27												
CSS			AS_DATA1		AS_DATA1				AL22												
CSS			AS_DATA2		AS_DATA2				AM20												
CSS			AS_DATA3		AS_DATA3				AL25												
CSS			DCLK		DCLK				AM26												
			ADCGND						R20												
			GND						A11												
			GND						A16												
			GND						A2												
			GND						A21												
			GND						A26												
			GND						A31												
			GND						A34												
			GND						A36												
			GND						A39												
			GND						A40												
			GND						A43												
			GND						A5												
			GND						A6												
			GND						A9												
			GND						AA1												
			GND						AA10												
			GND						AA11												
			GND						AA16												
			GND						AA2												
			GND						AA21												
			GND						AA26												
			GND						AA35												
			GND						AA36												
			GND						AA39												
			GND						AA40												
			GND						AA43												
			GND						AA44												
			GND						AA5												
			GND						AA6												
			GND						AA9												
			GND						AB10												
			GND						AB19												
			GND						AB24												
			GND						AB29												
			GND						AB3												
			GND						AB34												
			GND						AB35												
			GND						AB4												
			GND						AB41												
			GND						AB42												
			GND						AC1												
			GND						AC10												
			GND						AC17												
			GND						AC2												
			GND						AC22												
			GND						AC27												
			GND						AC32												
			GND						AC35												
			GND						AC36												
			GND						AC39												
			GND						AC40												
			GND						AC43												
			GND						AC44												
			GND						AC5												
			GND						AC6												
			GND						AC9												
			GND						AD10												
			GND						AD20												
			GND						AD25												
			GND						AD3												
			GND						AD36												
			GND						AD4												
			GND						AD41												
			GND						AD42												
			GND						AD9												
			GND						AE1												
			GND						AE10												
			GND						AE18												
			GND						AE2												
			GND						AE23												
			GND						AE28												
			GND						AE33												
			GND						AE35												
			GND						AE36												
			GND						AE39												
			GND						AE40												
			GND						AE43												
			GND						AE44												
			GND						AE5												
			GND						AE6												
			GND						AE9												
			GND						AF10												
			GND						AF11												
			GND						AF16												
			GND						AF21												
			GND						AF26												
			GND						AF3												
			GND						AF31												
			GND						AF35												
			GND						AF4												
			GND						AF41												
			GND						AF42												
			GND						AG1												
			GND						AG10												
			GND						AG14												
			GND						AG19												
			GND						AG2												
			GND						AG24												
			GND						AG29												
			GND						AG34												
			GND						AG35												
			GND						AG36												
			GND						AG39												
			GND						AG40												
			GND						AG43												
			GND						AG44												
			GND						AG5												
			GND						AG6												
			GND						AG9												
			GND						AH12												
			GND						AH17												
			GND						AH22												
			GND						AH27												
			GND						AH3												
			GND						AH32												
			GND						AH36												
			GND						AH4												
			GND						AH41												
			GND						AH42												
			GND						AH9												
			GND						AJ1												
			GND						AJ10												
			GND						AJ15												
			GND						AJ2												
			GND						AJ20												
			GND						AJ25												
			GND						AJ30												
			GND						AJ35												
			GND						AJ36												
			GND						AJ39												
			GND						AJ40												
			GND						AJ43												
			GND						AJ44												
			GND						AJ5												
			GND						AJ6												
			GND						AJ9												
			GND						AK10												
			GND						AK13												
			GND						AK18												
			GND						AK23												
			GND						AK28												
			GND						AK3												
			GND						AK35												
			GND						AK4												
			GND						AK41												
			GND						AK42												
			GND						AL1												
			GND						AL11												
			GND						AL16												
			GND						AL2												
			GND						AL21												
			GND						AL26												
			GND						AL35												
			GND						AL36												
			GND						AL39												
			GND						AL40												
			GND						AL43												
			GND						AL44												
			GND						AL5												
			GND						AL6												
			GND						AL9												
			GND						AM10												
			GND						AM14												
			GND						AM24												
			GND						AM3												
			GND						AM34												
			GND						AM36												
			GND						AM4												
			GND						AM41												
			GND						AM42												
			GND						AM9												
			GND						AN1												
			GND						AN17												
			GND						AN2												
			GND						AN22												
			GND						AN27												
			GND						AN32												
			GND						AN35												
			GND						AN36												
			GND						AN39												
			GND						AN40												
			GND						AN43												
			GND						AN44												
			GND						AN5												
			GND						AN6												
			GND						AN9												
			GND						AP10												
			GND						AP25												
			GND						AP3												
			GND						AP30												
			GND						AP35												
			GND						AP36												
			GND						AP37												
			GND						AP38												
			GND						AP4												
			GND						AP41												
			GND						AP42												
			GND						AP7												
			GND						AP8												
			GND						AP9												
			GND						AR1												
			GND						AR2												
			GND						AR33												
			GND						AR38												
			GND						AR39												
			GND						AR40												
			GND						AR43												
			GND						AR44												
			GND						AR5												
			GND						AR6												
			GND						AR7												
			GND						AR8												
			GND						AT11												
			GND						AT16												
			GND						AT21												
			GND						AT26												
			GND						AT3												
			GND						AT31												
			GND						AT36												
			GND						AT38												
			GND						AT4												
			GND						AT41												
			GND						AT42												
			GND						AT7												
			GND						AU1												
			GND						AU14												
			GND						AU19												
			GND						AU2												
			GND						AU34												
			GND						AU38												
			GND						AU39												
			GND						AU40												
			GND						AU43												
			GND						AU44												
			GND						AU5												
			GND						AU6												
			GND						AU7												
			GND						AU9												
			GND						AV12												
			GND						AV17												
			GND						AV3												
			GND						AV32												
			GND						AV36												
			GND						AV37												
			GND						AV38												
			GND						AV4												
			GND						AV41												
			GND						AV42												
			GND						AV7												
			GND						AV8												
			GND						AV9												
			GND						AW1												
			GND						AW10												
			GND						AW15												
			GND						AW2												
			GND						AW20												
			GND						AW25												
			GND						AW30												
			GND						AW35												
			GND						AW36												
			GND						AW39												
			GND						AW40												
			GND						AW43												
			GND						AW44												
			GND						AW5												
			GND						AW6												
			GND						AW9												
			GND						AY13												
			GND						AY18												
			GND						AY23												
			GND						AY28												
			GND						AY3												
			GND						AY33												
			GND						AY36												
			GND						AY37												
			GND						AY38												
			GND						AY4												
			GND						AY41												
			GND						AY42												
			GND						AY7												
			GND						AY8												
			GND						AY9												
			GND						B10												
			GND						B11												
			GND						B14												
			GND						B19												
			GND						B24												
			GND						B29												
			GND						B3												
			GND						B34												
			GND						B35												
			GND						B36												
			GND						B37												
			GND						B38												
			GND						B4												
			GND						B41												
			GND						B42												
			GND						B7												
			GND						B8												
			GND						B9												
			GND						BA1												
			GND						BA11												
			GND						BA16												
			GND						BA2												
			GND						BA21												
			GND						BA26												
			GND						BA31												
			GND						BA36												
			GND						BA39												
			GND						BA40												
			GND						BA43												
			GND						BA44												
			GND						BA5												
			GND						BA6												
			GND						BA9												
			GND						BB14												
			GND						BB19												
			GND						BB24												
			GND						BB29												
			GND						BB3												
			GND						BB34												
			GND						BB36												
			GND						BB37												
			GND						BB38												
			GND						BB4												
			GND						BB41												
			GND						BB42												
			GND						BB7												
			GND						BB8												
			GND						BB9												
			GND						BC1												
			GND						BC12												
			GND						BC17												
			GND						BC2												
			GND						BC22												
			GND						BC27												
			GND						BC32												
			GND						BC34												
			GND						BC36												
			GND						BC39												
			GND						BC40												
			GND						BC43												
			GND						BC44												
			GND						BC5												
			GND						BC6												
			GND						BC9												
			GND						BD11												
			GND						BD15												
			GND						BD2												
			GND						BD20												
			GND						BD25												
			GND						BD3												
			GND						BD30												
			GND						BD36												
			GND						BD37												
			GND						BD38												
			GND						BD4												
			GND						BD41												
			GND						BD42												
			GND						BD43												
			GND						BD7												
			GND						BD8												
			GND						BD9												
			GND						C1												
			GND						C12												
			GND						C17												
			GND						C2												
			GND						C22												
			GND						C27												
			GND						C32												
			GND						C36												
			GND						C39												
			GND						C40												
			GND						C43												
			GND						C44												
			GND						C5												
			GND						C6												
			GND						C9												
			GND						D10												
			GND						D15												
			GND						D20												
			GND						D25												
			GND						D3												
			GND						D30												
			GND						D35												
			GND						D36												
			GND						D37												
			GND						D38												
			GND						D4												
			GND						D41												
			GND						D42												
			GND						D7												
			GND						D8												
			GND						D9												
			GND						E1												
			GND						E13												
			GND						E18												
			GND						E2												
			GND						E23												
			GND						E28												
			GND						E33												
			GND						E36												
			GND						E39												
			GND						E40												
			GND						E43												
			GND						E44												
			GND						E5												
			GND						E6												
			GND						E9												
			GND						F11												
			GND						F16												
			GND						F21												
			GND						F26												
			GND						F3												
			GND						F31												
			GND						F36												
			GND						F37												
			GND						F38												
			GND						F4												
			GND						F41												
			GND						F42												
			GND						F7												
			GND						F8												
			GND						F9												
			GND						G1												
			GND						G14												
			GND						G19												
			GND						G2												
			GND						G24												
			GND						G29												
			GND						G34												
			GND						G36												
			GND						G39												
			GND						G40												
			GND						G43												
			GND						G44												
			GND						G5												
			GND						G6												
			GND						G9												
			GND						H12												
			GND						H17												
			GND						H22												
			GND						H27												
			GND						H3												
			GND						H32												
			GND						H36												
			GND						H37												
			GND						H38												
			GND						H4												
			GND						H41												
			GND						H42												
			GND						H7												
			GND						H8												
			GND						H9												
			GND						J1												
			GND						J10												
			GND						J15												
			GND						J2												
			GND						J20												
			GND						J35												
			GND						J36												
			GND						J37												
			GND						J38												
			GND						J39												
			GND						J40												
			GND						J43												
			GND						J44												
			GND						J5												
			GND						J6												
			GND						J7												
			GND						J8												
			GND						J9												
			GND						K10												
			GND						K3												
			GND						K33												
			GND						K35												
			GND						K4												
			GND						K41												
			GND						K42												
			GND						L1												
			GND						L10												
			GND						L11												
			GND						L16												
			GND						L2												
			GND						L26												
			GND						L31												
			GND						L35												
			GND						L36												
			GND						L39												
			GND						L40												
			GND						L43												
			GND						L44												
			GND						L5												
			GND						L6												
			GND						L9												
			GND						M3												
			GND						M34												
			GND						M36												
			GND						M4												
			GND						M41												
			GND						M42												
			GND						M9												
			GND						N1												
			GND						N17												
			GND						N2												
			GND						N22												
			GND						N27												
			GND						N32												
			GND						N35												
			GND						N36												
			GND						N39												
			GND						N40												
			GND						N43												
			GND						N44												
			GND						N5												
			GND						N6												
			GND						N9												
			GND						P10												
			GND						P15												
			GND						P20												
			GND						P25												
			GND						P3												
			GND						P35												
			GND						P4												
			GND						P41												
			GND						P42												
			GND						R1												
			GND						R10												
			GND						R13												
			GND						R18												
			GND						R2												
			GND						R23												
			GND						R28												
			GND						R33												
			GND						R35												
			GND						R36												
			GND						R39												
			GND						R40												
			GND						R43												
			GND						R44												
			GND						R5												
			GND						R6												
			GND						R9												
			GND						T11												
			GND						T16												
			GND						T21												
			GND						T26												
			GND						T3												
			GND						T36												
			GND						T4												
			GND						T41												
			GND						T42												
			GND						T9												
			GND						U1												
			GND						U10												
			GND						U14												
			GND						U19												
			GND						U2												
			GND						U24												
			GND						U29												
			GND						U34												
			GND						U35												
			GND						U36												
			GND						U39												
			GND						U40												
			GND						U43												
			GND						U44												
			GND						U5												
			GND						U6												
			GND						U9												
			GND						V10												
			GND						V12												
			GND						V17												
			GND						V22												
			GND						V27												
			GND						V3												
			GND						V35												
			GND						V4												
			GND						V41												
			GND						V42												
			GND						W1												
			GND						W2												
			GND						W20												
			GND						W25												
			GND						W36												
			GND						W39												
			GND						W40												
			GND						W43												
			GND						W44												
			GND						W5												
			GND						W6												
			GND						W9												
			GND						Y18												
			GND						Y23												
			GND						Y28												
			GND						Y3												
			GND						Y33												
			GND						Y36												
			GND						Y4												
			GND						Y41												
			GND						Y42												
			GND						Y9												
			GNDSENSE						AF23												
			VCC						AA15												
			VCC						AA17												
			VCC						AA18												
			VCC						AA19												
			VCC						AA20												
			VCC						AA22												
			VCC						AA23												
			VCC						AA24												
			VCC						AA25												
			VCC						AA27												
			VCC						AA28												
			VCC						AA29												
			VCC						AB15												
			VCC						AB16												
			VCC						AB17												
			VCC						AB18												
			VCC						AB20												
			VCC						AB21												
			VCC						AB25												
			VCC						AB26												
			VCC						AB27												
			VCC						AB28												
			VCC						AC14												
			VCC						AC19												
			VCC						AC20												
			VCC						AC24												
			VCC						AC25												
			VCC						AC30												
			VCC						AD16												
			VCC						AD17												
			VCC						AD18												
			VCC						AD19												
			VCC						AD21												
			VCC						AD22												
			VCC						AD23												
			VCC						AD24												
			VCC						AD26												
			VCC						AD27												
			VCC						AD28												
			VCC						AD29												
			VCC						AE16												
			VCC						AE17												
			VCC						AE19												
			VCC						AE20												
			VCC						AE21												
			VCC						AE22												
			VCC						AE24												
			VCC						AE25												
			VCC						AE26												
			VCC						AE27												
			VCC						AE29												
			VCC						AF17												
			VCC						AF18												
			VCC						AF19												
			VCC						AF20												
			VCC						AF24												
			VCC						AF25												
			VCC						AF27												
			VCC						AF28												
			VCC						AF29												
			VCC						AG16												
			VCC						AG17												
			VCC						AG18												
			VCC						AG22												
			VCC						AG23												
			VCC						AG26												
			VCC						AG27												
			VCC						AG28												
			VCC						AH18												
			VCC						AH23												
			VCC						AH24												
			VCC						AH26												
			VCC						AH29												
			VCC						AJ16												
			VCC						AJ17												
			VCC						AJ18												
			VCC						AJ19												
			VCC						AJ21												
			VCC						AJ23												
			VCC						AJ24												
			VCC						AJ26												
			VCC						AJ27												
			VCC						AJ28												
			VCC						AJ29												
			VCC						AK16												
			VCC						AK17												
			VCC						AK19												
			VCC						AK20												
			VCC						AK24												
			VCC						AK26												
			VCC						AK27												
			VCC						AK29												
			VCC						R16												
			VCC						R17												
			VCC						R19												
			VCC						R22												
			VCC						R24												
			VCC						R27												
			VCC						R29												
			VCC						T15												
			VCC						T17												
			VCC						T18												
			VCC						T19												
			VCC						T20												
			VCC						T22												
			VCC						T23												
			VCC						T24												
			VCC						T25												
			VCC						T27												
			VCC						T28												
			VCC						T29												
			VCC						T30												
			VCC						U17												
			VCC						U27												
			VCC						V16												
			VCC						V18												
			VCC						V19												
			VCC						V23												
			VCC						V24												
			VCC						V28												
			VCC						V29												
			VCC						W16												
			VCC						W17												
			VCC						W18												
			VCC						W19												
			VCC						W21												
			VCC						W22												
			VCC						W23												
			VCC						W24												
			VCC						W26												
			VCC						W27												
			VCC						W28												
			VCC						W29												
			VCC						Y16												
			VCC						Y17												
			VCC						Y19												
			VCC						Y20												
			VCC						Y21												
			VCC						Y22												
			VCC						Y24												
			VCC						Y25												
			VCC						Y26												
			VCC						Y27												
			VCC						Y29												
			VCCPT						AH16												
			VCCPT						AH19												
			VCCPT						AH21												
			VCCPT						AH25												
			VCCPT						AH28												
			VCCPT						AJ22												
			VCCPT						U16												
			VCCPT						U18												
			VCCPT						U20												
			VCCPT						U22												
			VCCPT						U23												
			VCCPT						U26												
			VCCPT						U28												
			DNU						BD34												
			DNU						BC35												
			DNU						BC11												
			DNU						BC10												
			DNU						AN28												
			DNU						AP29												
			DNU						AR27												
			VCCPGM						AK21												
			VCCPGM						AK22												
			TEMPDIODEn						N21												
			TEMPDIODEp						N20												
			VCCBAT						AL23												
			VCCA_PLL						AB22												
			VCCA_PLL						AB23												
