Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	KF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
3B	37	VREFB3BN0	IO				LVDS3B_6n	Yes	AP4	DQ113	DQ56	DQSn28/CQn28	DQ14
3B	36	VREFB3BN0	IO				LVDS3B_6p	Yes	AP3	DQ113	DQ56	DQS28/CQ28	DQ14
3B	35	VREFB3BN0	IO				LVDS3B_7n	No	AL5	DQ114	DQ57	DQ28	DQ14
3B	34	VREFB3BN0	IO				LVDS3B_7p	No	AM4	DQ114	DQ57	DQ28	DQ14
3B	33	VREFB3BN0	IO				LVDS3B_8n	Yes	AR5	DQSn114	DQ57	DQ28	DQ14
3B	32	VREFB3BN0	IO				LVDS3B_8p	Yes	AT4	DQS114	DQ57	DQ28	DQ14
3B	31	VREFB3BN0	IO				LVDS3B_9n	No	AM6	DQ114	DQ57	DQ28	DQ14
3B	30	VREFB3BN0	IO				LVDS3B_9p	No	AM5	DQ114	DQ57	DQ28	DQ14
3B	29	VREFB3BN0	IO	PLL_3B_CLKOUT1n			LVDS3B_10n	Yes	AP6	DQSn115	DQSn57/CQn57	DQ28	DQ14
3B	28	VREFB3BN0	IO	"PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1"			LVDS3B_10p	Yes	AR6	DQS115	DQS57/CQ57	DQ28	DQ14
3B	27	VREFB3BN0	IO				LVDS3B_11n	No	AM7	DQ115	DQ57	DQ28	DQ14
3B	26	VREFB3BN0	IO	RZQ_3B			LVDS3B_11p	No	AN7	DQ115	DQ57	DQ28	DQ14
3B	25	VREFB3BN0	IO	CLK_3B_1n			LVDS3B_12n	Yes	AN6	DQ115	DQ57	DQ28	DQ14
3B	24	VREFB3BN0	IO	CLK_3B_1p			LVDS3B_12p	Yes	AP5	DQ115	DQ57	DQ28	DQ14
3B	23	VREFB3BN0	IO	CLK_3B_0n			LVDS3B_13n	No	AH8	DQ116	DQ58	DQ29	DQ14
3B	22	VREFB3BN0	IO	CLK_3B_0p			LVDS3B_13p	No	AH7	DQ116	DQ58	DQ29	DQ14
3B	21	VREFB3BN0	IO				LVDS3B_14n	Yes	AH9	DQSn116	DQ58	DQ29	DQSn14/CQn14
3B	20	VREFB3BN0	IO				LVDS3B_14p	Yes	AJ8	DQS116	DQ58	DQ29	DQS14/CQ14
3B	19	VREFB3BN0	IO	PLL_3B_CLKOUT0n			LVDS3B_15n	No	AK7	DQ116	DQ58	DQ29	DQ14
3B	18	VREFB3BN0	IO	"PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0"			LVDS3B_15p	No	AK6	DQ116	DQ58	DQ29	DQ14
3B	17	VREFB3BN0	IO				LVDS3B_16n	Yes	AK8	DQSn117	DQSn58/CQn58	DQ29	DQ14
3B	16	VREFB3BN0	IO				LVDS3B_16p	Yes	AL7	DQS117	DQS58/CQ58	DQ29	DQ14
3B	15	VREFB3BN0	IO				LVDS3B_17n	No	AL9	DQ117	DQ58	DQ29	DQ14
3B	14	VREFB3BN0	IO				LVDS3B_17p	No	AL8	DQ117	DQ58	DQ29	DQ14
3B	13	VREFB3BN0	IO				LVDS3B_18n	Yes	AE11	DQ117	DQ58	DQSn29/CQn29	DQ14
3B	12	VREFB3BN0	IO				LVDS3B_18p	Yes	AE10	DQ117	DQ58	DQS29/CQ29	DQ14
3B	11	VREFB3BN0	IO				LVDS3B_19n	No	AJ10	DQ118	DQ59	DQ29	DQ14
3B	10	VREFB3BN0	IO				LVDS3B_19p	No	AJ9	DQ118	DQ59	DQ29	DQ14
3B	9	VREFB3BN0	IO				LVDS3B_20n	Yes	AG10	DQSn118	DQ59	DQ29	DQ14
3B	8	VREFB3BN0	IO				LVDS3B_20p	Yes	AG9	DQS118	DQ59	DQ29	DQ14
3B	7	VREFB3BN0	IO				LVDS3B_21n	No	AF10	DQ118	DQ59	DQ29	DQ14
3B	6	VREFB3BN0	IO				LVDS3B_21p	No	AF9	DQ118	DQ59	DQ29	DQ14
3B	5	VREFB3BN0	IO				LVDS3B_22n	Yes	AF13	DQSn119	DQSn59/CQn59	DQ29	DQ14
3B	4	VREFB3BN0	IO				LVDS3B_22p	Yes	AE12	DQS119	DQS59/CQ59	DQ29	DQ14
3B	3	VREFB3BN0	IO				LVDS3B_23n	No	AF12	DQ119	DQ59	DQ29	DQ14
3B	2	VREFB3BN0	IO				LVDS3B_23p	No	AG11	DQ119	DQ59	DQ29	DQ14
3B	1	VREFB3BN0	IO				LVDS3B_24n	Yes	AG12	DQ119	DQ59	DQ29	DQ14
3B	0	VREFB3BN0	IO				LVDS3B_24p	Yes	AH11	DQ119	DQ59	DQ29	DQ14
3A	47	VREFB3AN0	IO				LVDS3A_1n	No	AT5	DQ120	DQ60	DQ30	DQ15
3A	46	VREFB3AN0	IO				LVDS3A_1p	No	AU5	DQ120	DQ60	DQ30	DQ15
3A	45	VREFB3AN0	IO				LVDS3A_2n	Yes	AU4	DQSn120	DQ60	DQ30	DQ15
3A	44	VREFB3AN0	IO				LVDS3A_2p	Yes	AV4	DQS120	DQ60	DQ30	DQ15
3A	43	VREFB3AN0	IO				LVDS3A_3n	No	AV2	DQ120	DQ60	DQ30	DQ15
3A	42	VREFB3AN0	IO				LVDS3A_3p	No	AV1	DQ120	DQ60	DQ30	DQ15
3A	41	VREFB3AN0	IO				LVDS3A_4n	Yes	AW5	DQSn121	DQSn60/CQn60	DQ30	DQ15
3A	40	VREFB3AN0	IO				LVDS3A_4p	Yes	AW4	DQS121	DQS60/CQ60	DQ30	DQ15
3A	39	VREFB3AN0	IO				LVDS3A_5n	No	AV6	DQ121	DQ60	DQ30	DQ15
3A	38	VREFB3AN0	IO				LVDS3A_5p	No	AW6	DQ121	DQ60	DQ30	DQ15
3A	37	VREFB3AN0	IO				LVDS3A_6n	Yes	AV3	DQ121	DQ60	DQSn30/CQn30	DQ15
3A	36	VREFB3AN0	IO				LVDS3A_6p	Yes	AW3	DQ121	DQ60	DQS30/CQ30	DQ15
3A	35	VREFB3AN0	IO				LVDS3A_7n	No	AN8	DQ122	DQ61	DQ30	DQ15
3A	34	VREFB3AN0	IO				LVDS3A_7p	No	AP8	DQ122	DQ61	DQ30	DQ15
3A	33	VREFB3AN0	IO				LVDS3A_8n	Yes	AU6	DQSn122	DQ61	DQ30	DQ15
3A	32	VREFB3AN0	IO				LVDS3A_8p	Yes	AV7	DQS122	DQ61	DQ30	DQ15
3A	31	VREFB3AN0	IO				LVDS3A_9n	No	AR8	DQ122	DQ61	DQ30	DQ15
3A	30	VREFB3AN0	IO				LVDS3A_9p	No	AR7	DQ122	DQ61	DQ30	DQ15
3A	29	VREFB3AN0	IO	PLL_3A_CLKOUT1n			LVDS3A_10n	Yes	AT9	DQSn123	DQSn61/CQn61	DQ30	DQ15
3A	28	VREFB3AN0	IO	"PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1"			LVDS3A_10p	Yes	AT8	DQS123	DQS61/CQ61	DQ30	DQ15
3A	27	VREFB3AN0	IO				LVDS3A_11n	No	AV8	DQ123	DQ61	DQ30	DQ15
3A	26	VREFB3AN0	IO	RZQ_3A			LVDS3A_11p	No	AW8	DQ123	DQ61	DQ30	DQ15
3A	25	VREFB3AN0	IO	CLK_3A_1n			LVDS3A_12n	Yes	AT7	DQ123	DQ61	DQ30	DQ15
3A	24	VREFB3AN0	IO	CLK_3A_1p			LVDS3A_12p	Yes	AU7	DQ123	DQ61	DQ30	DQ15
3A	23	VREFB3AN0	IO	CLK_3A_0n			LVDS3A_13n	No	AL10	DQ124	DQ62	DQ31	DQ15
3A	22	VREFB3AN0	IO	CLK_3A_0p			LVDS3A_13p	No	AM9	DQ124	DQ62	DQ31	DQ15
3A	21	VREFB3AN0	IO				LVDS3A_14n	Yes	AP10	DQSn124	DQ62	DQ31	DQSn15/CQn15
3A	20	VREFB3AN0	IO				LVDS3A_14p	Yes	AR10	DQS124	DQ62	DQ31	DQS15/CQ15
3A	19	VREFB3AN0	IO	PLL_3A_CLKOUT0n			LVDS3A_15n	No	AN9	DQ124	DQ62	DQ31	DQ15
3A	18	VREFB3AN0	IO	"PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0"			LVDS3A_15p	No	AP9	DQ124	DQ62	DQ31	DQ15
3A	17	VREFB3AN0	IO				LVDS3A_16n	Yes	AM11	DQSn125	DQSn62/CQn62	DQ31	DQ15
3A	16	VREFB3AN0	IO				LVDS3A_16p	Yes	AM10	DQS125	DQS62/CQ62	DQ31	DQ15
3A	15	VREFB3AN0	IO				LVDS3A_17n	No	AN11	DQ125	DQ62	DQ31	DQ15
3A	14	VREFB3AN0	IO				LVDS3A_17p	No	AP11	DQ125	DQ62	DQ31	DQ15
3A	13	VREFB3AN0	IO				LVDS3A_18n	Yes	AH12	DQ125	DQ62	DQSn31/CQn31	DQ15
3A	12	VREFB3AN0	IO				LVDS3A_18p	Yes	AJ11	DQ125	DQ62	DQS31/CQ31	DQ15
3A	11	VREFB3AN0	IO				LVDS3A_19n	No	AM12	DQ126	DQ63	DQ31	DQ15
3A	10	VREFB3AN0	IO				LVDS3A_19p	No	AN12	DQ126	DQ63	DQ31	DQ15
3A	9	VREFB3AN0	IO				LVDS3A_20n	Yes	AK13	DQSn126	DQ63	DQ31	DQ15
3A	8	VREFB3AN0	IO				LVDS3A_20p	Yes	AL13	DQS126	DQ63	DQ31	DQ15
3A	7	VREFB3AN0	IO				LVDS3A_21n	No	AK11	DQ126	DQ63	DQ31	DQ15
3A	6	VREFB3AN0	IO				LVDS3A_21p	No	AK10	DQ126	DQ63	DQ31	DQ15
3A	5	VREFB3AN0	IO				LVDS3A_22n	Yes	AK12	DQSn127	DQSn63/CQn63	DQ31	DQ15
3A	4	VREFB3AN0	IO				LVDS3A_22p	Yes	AL12	DQS127	DQS63/CQ63	DQ31	DQ15
3A	3	VREFB3AN0	IO				LVDS3A_23n	No	AH13	DQ127	DQ63	DQ31	DQ15
3A	2	VREFB3AN0	IO				LVDS3A_23p	No	AJ13	DQ127	DQ63	DQ31	DQ15
3A	1	VREFB3AN0	IO				LVDS3A_24n	Yes	AH14	DQ127	DQ63	DQ31	DQ15
3A	0	VREFB3AN0	IO				LVDS3A_24p	Yes	AJ14	DQ127	DQ63	DQ31	DQ15
			GND						AJ15				
CSS			TDO		TDO				AR11				
CSS			TMS		TMS				AU12				
CSS			TRST		TRST				AU9				
CSS			TCK		TCK				AL14				
CSS			TDI		TDI				AR12				
CSS			MSEL0		MSEL0				AM14				
CSS			MSEL1		MSEL1				AP13				
CSS			MSEL2		MSEL2				AN14				
CSS			nIO_PULLUP		nIO_PULLUP				AK15				
CSS			nSTATUS		nSTATUS				AV9				
CSS			CONF_DONE		CONF_DONE				AU10				
			GND						AL15				
CSS			nCONFIG		nCONFIG				AT10				
CSS			nCE		nCE				AN13				
CSS			nCSO0		nCSO0				AW9				
CSS			nCSO1		nCSO1				AU11				
CSS			nCSO2		nCSO2				AW10				
CSS			"AS_DATA0,ASDO"		"AS_DATA0,ASDO"				AT12				
CSS			AS_DATA1		AS_DATA1				AR13				
CSS			AS_DATA2		AS_DATA2				AV11				
CSS			AS_DATA3		AS_DATA3				AV12				
CSS			DCLK		DCLK				AW11				
			ADCGND						C14				
			GND						J20				
			GND						K20				
			GND						L17				
			GND						L18				
			GND						L19				
			GND						M17				
			GND						M19				
			GND						A11				
			GND						A16				
			GND						A21				
			GND						A26				
			GND						A31				
			GND						A33				
			GND						A34				
			GND						A35				
			GND						A38				
			GND						A6				
			GND						AA1				
			GND						AA16				
			GND						AA21				
			GND						AA26				
			GND						AA28				
			GND						AA34				
			GND						AA35				
			GND						AA38				
			GND						AA39				
			GND						AB13				
			GND						AB18				
			GND						AB23				
			GND						AB28				
			GND						AB29				
			GND						AB3				
			GND						AB32				
			GND						AB33				
			GND						AB36				
			GND						AB37				
			GND						AC15				
			GND						AC20				
			GND						AC29				
			GND						AC34				
			GND						AC35				
			GND						AC38				
			GND						AC39				
			GND						AC5				
			GND						AD12				
			GND						AD17				
			GND						AD2				
			GND						AD22				
			GND						AD29				
			GND						AD32				
			GND						AD33				
			GND						AD36				
			GND						AD37				
			GND						AE14				
			GND						AE19				
			GND						AE24				
			GND						AE28				
			GND						AE34				
			GND						AE35				
			GND						AE38				
			GND						AE39				
			GND						AE4				
			GND						AE9				
			GND						AF1				
			GND						AF16				
			GND						AF21				
			GND						AF29				
			GND						AF32				
			GND						AF33				
			GND						AF36				
			GND						AF37				
			GND						AG13				
			GND						AG18				
			GND						AG23				
			GND						AG28				
			GND						AG29				
			GND						AG3				
			GND						AG34				
			GND						AG35				
			GND						AG38				
			GND						AG39				
			GND						AG8				
			GND						AH15				
			GND						AH20				
			GND						AH25				
			GND						AH29				
			GND						AH32				
			GND						AH33				
			GND						AH36				
			GND						AH37				
			GND						AH5				
			GND						AJ17				
			GND						AJ2				
			GND						AJ22				
			GND						AJ27				
			GND						AJ28				
			GND						AJ34				
			GND						AJ35				
			GND						AJ38				
			GND						AJ39				
			GND						AJ7				
			GND						AK14				
			GND						AK29				
			GND						AK32				
			GND						AK33				
			GND						AK36				
			GND						AK37				
			GND						AK4				
			GND						AL1				
			GND						AL26				
			GND						AL29				
			GND						AL34				
			GND						AL35				
			GND						AL38				
			GND						AL39				
			GND						AL6				
			GND						AM28				
			GND						AM29				
			GND						AM3				
			GND						AM32				
			GND						AM33				
			GND						AM36				
			GND						AM37				
			GND						AM8				
			GND						AN10				
			GND						AN15				
			GND						AN29				
			GND						AN30				
			GND						AN31				
			GND						AN34				
			GND						AN35				
			GND						AN38				
			GND						AN39				
			GND						AN5				
			GND						AP12				
			GND						AP17				
			GND						AP2				
			GND						AP27				
			GND						AP31				
			GND						AP32				
			GND						AP33				
			GND						AP36				
			GND						AP37				
			GND						AP7				
			GND						AR14				
			GND						AR19				
			GND						AR24				
			GND						AR29				
			GND						AR33				
			GND						AR34				
			GND						AR35				
			GND						AR38				
			GND						AR39				
			GND						AR4				
			GND						AR9				
			GND						AT1				
			GND						AT11				
			GND						AT16				
			GND						AT21				
			GND						AT26				
			GND						AT31				
			GND						AT33				
			GND						AT36				
			GND						AT37				
			GND						AT6				
			GND						AU13				
			GND						AU18				
			GND						AU23				
			GND						AU28				
			GND						AU3				
			GND						AU33				
			GND						AU34				
			GND						AU35				
			GND						AU38				
			GND						AU39				
			GND						AU8				
			GND						AV10				
			GND						AV15				
			GND						AV20				
			GND						AV25				
			GND						AV30				
			GND						AV33				
			GND						AV36				
			GND						AV37				
			GND						AV5				
			GND						AW12				
			GND						AW17				
			GND						AW2				
			GND						AW22				
			GND						AW27				
			GND						AW31				
			GND						AW33				
			GND						AW34				
			GND						AW35				
			GND						AW38				
			GND						AW7				
			GND						B13				
			GND						B18				
			GND						B23				
			GND						B28				
			GND						B3				
			GND						B31				
			GND						B32				
			GND						B33				
			GND						B36				
			GND						B37				
			GND						B8				
			GND						C10				
			GND						C15				
			GND						C20				
			GND						C25				
			GND						C30				
			GND						C33				
			GND						C34				
			GND						C35				
			GND						C38				
			GND						C39				
			GND						C5				
			GND						D12				
			GND						D17				
			GND						D2				
			GND						D22				
			GND						D27				
			GND						D32				
			GND						D33				
			GND						D36				
			GND						D37				
			GND						D7				
			GND						E14				
			GND						E19				
			GND						E24				
			GND						E29				
			GND						E33				
			GND						E34				
			GND						E35				
			GND						E38				
			GND						E39				
			GND						E4				
			GND						E9				
			GND						F1				
			GND						F11				
			GND						F21				
			GND						F26				
			GND						F31				
			GND						F32				
			GND						F33				
			GND						F36				
			GND						F37				
			GND						F6				
			GND						G18				
			GND						G23				
			GND						G28				
			GND						G3				
			GND						G31				
			GND						G34				
			GND						G35				
			GND						G38				
			GND						G39				
			GND						H10				
			GND						H20				
			GND						H29				
			GND						H30				
			GND						H31				
			GND						H32				
			GND						H33				
			GND						H36				
			GND						H37				
			GND						H5				
			GND						J2				
			GND						J27				
			GND						J28				
			GND						J34				
			GND						J35				
			GND						J38				
			GND						J39				
			GND						J7				
			GND						K19				
			GND						K29				
			GND						K32				
			GND						K33				
			GND						K36				
			GND						K37				
			GND						K4				
			GND						L1				
			GND						L11				
			GND						L16				
			GND						L21				
			GND						L26				
			GND						L29				
			GND						L34				
			GND						L35				
			GND						L38				
			GND						L39				
			GND						L6				
			GND						M13				
			GND						M18				
			GND						M23				
			GND						M28				
			GND						M29				
			GND						M3				
			GND						M32				
			GND						M33				
			GND						M36				
			GND						M37				
			GND						M8				
			GND						N15				
			GND						N20				
			GND						N25				
			GND						N28				
			GND						N34				
			GND						N35				
			GND						N38				
			GND						N39				
			GND						N5				
			GND						P12				
			GND						P17				
			GND						P2				
			GND						P22				
			GND						P29				
			GND						P32				
			GND						P33				
			GND						P36				
			GND						P37				
			GND						R14				
			GND						R19				
			GND						R24				
			GND						R29				
			GND						R34				
			GND						R35				
			GND						R38				
			GND						R39				
			GND						R4				
			GND						T1				
			GND						T16				
			GND						T21				
			GND						T29				
			GND						T32				
			GND						T33				
			GND						T36				
			GND						T37				
			GND						T6				
			GND						U13				
			GND						U18				
			GND						U23				
			GND						U28				
			GND						U3				
			GND						U34				
			GND						U35				
			GND						U38				
			GND						U39				
			GND						U8				
			GND						V15				
			GND						V20				
			GND						V29				
			GND						V32				
			GND						V33				
			GND						V36				
			GND						V37				
			GND						V5				
			GND						W12				
			GND						W17				
			GND						W2				
			GND						W22				
			GND						W27				
			GND						W29				
			GND						W34				
			GND						W35				
			GND						W38				
			GND						W39				
			GND						Y14				
			GND						Y19				
			GND						Y24				
			GND						Y29				
			GND						Y32				
			GND						Y33				
			GND						Y36				
			GND						Y37				
			GND						Y4				
			GNDSENSE						AE16				
			VCC						AA14				
			VCC						AA15				
			VCC						AA17				
			VCC						AA18				
			VCC						AA19				
			VCC						AA20				
			VCC						AA22				
			VCC						AA23				
			VCC						AA24				
			VCC						AB14				
			VCC						AB15				
			VCC						AB16				
			VCC						AB17				
			VCC						AB19				
			VCC						AB20				
			VCC						AB21				
			VCC						AB22				
			VCC						AB24				
			VCC						AC17				
			VCC						AC18				
			VCC						AC22				
			VCC						AD14				
			VCC						AD18				
			VCC						AD19				
			VCC						AD20				
			VCC						AD21				
			VCC						AD23				
			VCC						AD24				
			VCC						AE18				
			VCC						AE20				
			VCC						AE21				
			VCC						AE22				
			VCC						AE23				
			VCC						AF14				
			VCC						AF17				
			VCC						AF18				
			VCC						AF19				
			VCC						AF20				
			VCC						AF22				
			VCC						AF23				
			VCC						AF24				
			VCC						AG21				
			VCC						N18				
			VCC						N22				
			VCC						P14				
			VCC						P15				
			VCC						P16				
			VCC						P18				
			VCC						P19				
			VCC						P20				
			VCC						P21				
			VCC						P23				
			VCC						P24				
			VCC						R15				
			VCC						R16				
			VCC						R17				
			VCC						R18				
			VCC						R20				
			VCC						R21				
			VCC						R22				
			VCC						R23				
			VCC						T14				
			VCC						T15				
			VCC						T17				
			VCC						T18				
			VCC						T19				
			VCC						T20				
			VCC						T22				
			VCC						T23				
			VCC						T24				
			VCC						U16				
			VCC						U20				
			VCC						U21				
			VCC						V14				
			VCC						V16				
			VCC						V17				
			VCC						V18				
			VCC						V19				
			VCC						V21				
			VCC						V22				
			VCC						V23				
			VCC						V24				
			VCC						W15				
			VCC						W16				
			VCC						W18				
			VCC						W20				
			VCC						W21				
			VCC						W23				
			VCC						W24				
			VCC						Y17				
			VCC						Y21				
			VCCPT						AC14				
			VCCPT						AC16				
			VCCPT						AC19				
			VCCPT						AC21				
			VCCPT						AC23				
			VCCPT						AC24				
			VCCPT						U14				
			VCCPT						U15				
			VCCPT						U17				
			VCCPT						U19				
			VCCPT						U22				
			VCCPT						U24				
			DNU						AV31				
			DNU						AV32				
			DNU						AD15				
			DNU						AE15				
			DNU						AD16				
			VCCPGM						AG17				
			VCCPGM						AH17				
			TEMPDIODEn						B14				
			TEMPDIODEp						B15				
			VCCBAT						AG16				
			VCCA_PLL						W14				
			VCCA_PLL						W19				
			VCCIO2A						AK19				
			VCCIO2A						AL16				
			VCCIO2A						AM18				
			VCCIO2G						AL21				
			VCCIO2G						AN20				
			VCCIO2G						AP22				
			VCCIO2H						AK24				
			VCCIO2H						AM23				
			VCCIO2H						AN25				
			VCCIO2I						AC25				
			VCCIO2I						AD27				
			VCCIO2I						AF26				
			VCCIO2J						F16				
			VCCIO2J						H15				
			VCCIO2J						J17				
			VCCIO2K						P27				
			VCCIO2K						T26				
			VCCIO2K						V25				
			VCCIO2L						H25				
			VCCIO2L						J22				
			VCCIO2L						K24				
			VCCIO3A						AJ12				
			VCCIO3A						AL11				
			VCCIO3A						AM13				
			VCCIO3B						AF11				
			VCCIO3B						AH10				
			VCCIO3B						AK9				
			VCCIO3C						AC10				
			VCCIO3C						AD7				
			VCCIO3C						AF6				
			VCCIO3D						AA11				
			VCCIO3D						AA6				
			VCCIO3D						AB8				
			VCCIO3E						V10				
			VCCIO3E						W7				
			VCCIO3E						Y9				
			VCCIO3F						P7				
			VCCIO3F						R9				
			VCCIO3F						T11				
			VCCIO3G						G8				
			VCCIO3G						K9				
			VCCIO3G						N10				
			VCCIO3H						G13				
			VCCIO3H						J12				
			VCCIO3H						K14				
2A		VREFB2AN0	VREFB2AN0						AH19				
2G		VREFB2GN0	VREFB2GN0						AH22				
2H		VREFB2HN0	VREFB2HN0						AH24				
2I		VREFB2IN0	VREFB2IN0						AA25				
2J		VREFB2JN0	VREFB2JN0						M16				
2K		VREFB2KN0	VREFB2KN0						P25				
2L		VREFB2LN0	VREFB2LN0						M20				
3A		VREFB3AN0	VREFB3AN0						AG14				
3B		VREFB3BN0	VREFB3BN0						AE13				
3C		VREFB3CN0	VREFB3CN0						AC13				
3D		VREFB3DN0	VREFB3DN0						AA13				
3E		VREFB3EN0	VREFB3EN0						W13				
3F		VREFB3FN0	VREFB3FN0						V13				
3G		VREFB3GN0	VREFB3GN0						R13				
3H		VREFB3HN0	VREFB3HN0						M14				
			VREFN_ADC						A14				
			VREFP_ADC						A13				
			NC						E22				
			NC						K21				
			NC						J21				
			NC						J18				
			NC						F22				
			NC						K18				
			NC						E23				
			NC						G21				
			NC						H21				
			NC						H22				
			NC						H19				
			NC						D23				
			NC						C23				
			NC						F23				
			NC						G22				
			NC						J19				
			NC						L20				
			VCCH_GXBL						AA29				
			VCCH_GXBL						AE29				
			VCCH_GXBL						AJ29				
			VCCH_GXBL						J29				
			VCCH_GXBL						N29				
			VCCH_GXBL						U29				
			VCCR_GXBL1C						AL30				
			VCCR_GXBL1C						AL31				
			VCCR_GXBL1D						AG30				
			VCCR_GXBL1D						AG31				
			VCCR_GXBL1E						AC30				
			VCCR_GXBL1E						AC31				
			VCCR_GXBL1F						W30				
			VCCR_GXBL1F						W31				
			VCCR_GXBL1G						R30				
			VCCR_GXBL1G						R31				
			VCCR_GXBL1H						L30				
			VCCR_GXBL1H						L31				
			VCCT_GXBL1C						AJ30				
			VCCT_GXBL1C						AJ31				
			VCCT_GXBL1D						AE30				
			VCCT_GXBL1D						AE31				
			VCCT_GXBL1E						AA30				
			VCCT_GXBL1E						AA31				
			VCCT_GXBL1F						U30				
			VCCT_GXBL1F						U31				
			VCCT_GXBL1G						N30				
			VCCT_GXBL1G						N31				
			VCCT_GXBL1H						J30				
			VCCT_GXBL1H						J31				
			RREF_BL						AW32				
			RREF_TL						A32				
			VCCERAM						Y15				
			VCCERAM						Y16				
			VCCERAM						Y18				
			VCCERAM						Y20				
			VCCERAM						Y22				
			VCCERAM						Y23				
			VCCLSENSE						AE17				
			VCCP						AF15				
			VCCP						AG15				
			VCCP						AG19				
			VCCP						AG20				
			VCCP						AG22				
			VCCP						AG24				
			VCCP						N14				
			VCCP						N16				
			VCCP						N17				
			VCCP						N19				
			VCCP						N21				
			VCCP						N23				
			VCCP						N24				
			VSIGN_0						D15				
			VSIGN_1						E16				
			VSIGP_0						D14				
			VSIGP_1						E15				
Note:													
"(1) For more information about the external memory interface schemes of the pins with indices, refer to the"													
Arria10EMIF.xls													
