Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	NF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
3C	27	VREFB3CN0	IO			LVDS3C_11n	No	AT9	DQ107	DQ53	DQ26	DQ13
3C	26	VREFB3CN0	IO	RZQ_3C		LVDS3C_11p	No	AR9	DQ107	DQ53	DQ26	DQ13
3C	25	VREFB3CN0	IO	CLK_3C_1n		LVDS3C_12n	Yes	AT6	DQ107	DQ53	DQ26	DQ13
3C	24	VREFB3CN0	IO	CLK_3C_1p		LVDS3C_12p	Yes	AT7	DQ107	DQ53	DQ26	DQ13
3C	23	VREFB3CN0	IO	CLK_3C_0n		LVDS3C_13n	No	AL12	DQ108	DQ54	DQ27	DQ13
3C	22	VREFB3CN0	IO	CLK_3C_0p		LVDS3C_13p	No	AK12	DQ108	DQ54	DQ27	DQ13
3C	21	VREFB3CN0	IO			LVDS3C_14n	Yes	AF12	DQSn108	DQ54	DQ27	DQSn13/CQn13
3C	20	VREFB3CN0	IO			LVDS3C_14p	Yes	AE12	DQS108	DQ54	DQ27	DQS13/CQ13
3C	19	VREFB3CN0	IO	PLL_3C_CLKOUT0n		LVDS3C_15n	No	AN12	DQ108	DQ54	DQ27	DQ13
3C	18	VREFB3CN0	IO	"PLL_3C_CLKOUT0p,PLL_3C_CLKOUT0,PLL_3C_FB0"		LVDS3C_15p	No	AM12	DQ108	DQ54	DQ27	DQ13
3C	17	VREFB3CN0	IO			LVDS3C_16n	Yes	AH12	DQSn109	DQSn54/CQn54	DQ27	DQ13
3C	16	VREFB3CN0	IO			LVDS3C_16p	Yes	AG12	DQS109	DQS54/CQ54	DQ27	DQ13
3C	15	VREFB3CN0	IO			LVDS3C_17n	No	AG13	DQ109	DQ54	DQ27	DQ13
3C	14	VREFB3CN0	IO			LVDS3C_17p	No	AH13	DQ109	DQ54	DQ27	DQ13
3C	13	VREFB3CN0	IO			LVDS3C_18n	Yes	AK13	DQ109	DQ54	DQSn27/CQn27	DQ13
3C	12	VREFB3CN0	IO			LVDS3C_18p	Yes	AJ13	DQ109	DQ54	DQS27/CQ27	DQ13
3C	11	VREFB3CN0	IO			LVDS3C_19n	No	AF14	DQ110	DQ55	DQ27	DQ13
3C	10	VREFB3CN0	IO			LVDS3C_19p	No	AG14	DQ110	DQ55	DQ27	DQ13
3C	9	VREFB3CN0	IO			LVDS3C_20n	Yes	AD13	DQSn110	DQ55	DQ27	DQ13
3C	8	VREFB3CN0	IO			LVDS3C_20p	Yes	AD14	DQS110	DQ55	DQ27	DQ13
3C	7	VREFB3CN0	IO			LVDS3C_21n	No	AB13	DQ110	DQ55	DQ27	DQ13
3C	6	VREFB3CN0	IO			LVDS3C_21p	No	AB14	DQ110	DQ55	DQ27	DQ13
3C	5	VREFB3CN0	IO			LVDS3C_22n	Yes	AB12	DQSn111	DQSn55/CQn55	DQ27	DQ13
3C	4	VREFB3CN0	IO			LVDS3C_22p	Yes	AC13	DQS111	DQS55/CQ55	DQ27	DQ13
3C	3	VREFB3CN0	IO			LVDS3C_23n	No	AC11	DQ111	DQ55	DQ27	DQ13
3C	2	VREFB3CN0	IO			LVDS3C_23p	No	AC12	DQ111	DQ55	DQ27	DQ13
3C	1	VREFB3CN0	IO			LVDS3C_24n	Yes	AE14	DQ111	DQ55	DQ27	DQ13
3C	0	VREFB3CN0	IO			LVDS3C_24p	Yes	AE13	DQ111	DQ55	DQ27	DQ13
3B	47	VREFB3BN0	IO			LVDS3B_1n	No	AV11	DQ112	DQ56	DQ28	DQ14
3B	46	VREFB3BN0	IO			LVDS3B_1p	No	AV10	DQ112	DQ56	DQ28	DQ14
3B	45	VREFB3BN0	IO			LVDS3B_2n	Yes	AY8	DQSn112	DQ56	DQ28	DQ14
3B	44	VREFB3BN0	IO			LVDS3B_2p	Yes	AW8	DQS112	DQ56	DQ28	DQ14
3B	43	VREFB3BN0	IO			LVDS3B_3n	No	BA9	DQ112	DQ56	DQ28	DQ14
3B	42	VREFB3BN0	IO			LVDS3B_3p	No	AY9	DQ112	DQ56	DQ28	DQ14
3B	41	VREFB3BN0	IO			LVDS3B_4n	Yes	AW9	DQSn113	DQSn56/CQn56	DQ28	DQ14
3B	40	VREFB3BN0	IO			LVDS3B_4p	Yes	AW10	DQS113	DQS56/CQ56	DQ28	DQ14
3B	39	VREFB3BN0	IO			LVDS3B_5n	No	AV12	DQ113	DQ56	DQ28	DQ14
3B	38	VREFB3BN0	IO			LVDS3B_5p	No	AU12	DQ113	DQ56	DQ28	DQ14
3B	37	VREFB3BN0	IO			LVDS3B_6n	Yes	AY12	DQ113	DQ56	DQSn28/CQn28	DQ14
3B	36	VREFB3BN0	IO			LVDS3B_6p	Yes	AW11	DQ113	DQ56	DQS28/CQ28	DQ14
3B	35	VREFB3BN0	IO			LVDS3B_7n	No	AR13	DQ114	DQ57	DQ28	DQ14
3B	34	VREFB3BN0	IO			LVDS3B_7p	No	AP13	DQ114	DQ57	DQ28	DQ14
3B	33	VREFB3BN0	IO			LVDS3B_8n	Yes	AU14	DQSn114	DQ57	DQ28	DQ14
3B	32	VREFB3BN0	IO			LVDS3B_8p	Yes	AT14	DQS114	DQ57	DQ28	DQ14
3B	31	VREFB3BN0	IO			LVDS3B_9n	No	AM14	DQ114	DQ57	DQ28	DQ14
3B	30	VREFB3BN0	IO			LVDS3B_9p	No	AL14	DQ114	DQ57	DQ28	DQ14
3B	29	VREFB3BN0	IO	PLL_3B_CLKOUT1n		LVDS3B_10n	Yes	AN13	DQSn115	DQSn57/CQn57	DQ28	DQ14
3B	28	VREFB3BN0	IO	"PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1"		LVDS3B_10p	Yes	AM13	DQS115	DQS57/CQ57	DQ28	DQ14
3B	27	VREFB3BN0	IO			LVDS3B_11n	No	AK14	DQ115	DQ57	DQ28	DQ14
3B	26	VREFB3BN0	IO	RZQ_3B		LVDS3B_11p	No	AJ14	DQ115	DQ57	DQ28	DQ14
3B	25	VREFB3BN0	IO	CLK_3B_1n		LVDS3B_12n	Yes	AR14	DQ115	DQ57	DQ28	DQ14
3B	24	VREFB3BN0	IO	CLK_3B_1p		LVDS3B_12p	Yes	AP14	DQ115	DQ57	DQ28	DQ14
3B	23	VREFB3BN0	IO	CLK_3B_0n		LVDS3B_13n	No	BA11	DQ116	DQ58	DQ29	DQ14
3B	22	VREFB3BN0	IO	CLK_3B_0p		LVDS3B_13p	No	AY11	DQ116	DQ58	DQ29	DQ14
3B	21	VREFB3BN0	IO			LVDS3B_14n	Yes	AV13	DQSn116	DQ58	DQ29	DQSn14/CQn14
3B	20	VREFB3BN0	IO			LVDS3B_14p	Yes	AU13	DQS116	DQ58	DQ29	DQS14/CQ14
3B	19	VREFB3BN0	IO	PLL_3B_CLKOUT0n		LVDS3B_15n	No	BB12	DQ116	DQ58	DQ29	DQ14
3B	18	VREFB3BN0	IO	"PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0"		LVDS3B_15p	No	BA12	DQ116	DQ58	DQ29	DQ14
3B	17	VREFB3BN0	IO			LVDS3B_16n	Yes	BA14	DQSn117	DQSn58/CQn58	DQ29	DQ14
3B	16	VREFB3BN0	IO			LVDS3B_16p	Yes	AY14	DQS117	DQS58/CQ58	DQ29	DQ14
3B	15	VREFB3BN0	IO			LVDS3B_17n	No	AY13	DQ117	DQ58	DQ29	DQ14
3B	14	VREFB3BN0	IO			LVDS3B_17p	No	AW13	DQ117	DQ58	DQ29	DQ14
3B	13	VREFB3BN0	IO			LVDS3B_18n	Yes	AW14	DQ117	DQ58	DQSn29/CQn29	DQ14
3B	12	VREFB3BN0	IO			LVDS3B_18p	Yes	AW15	DQ117	DQ58	DQS29/CQ29	DQ14
3B	11	VREFB3BN0	IO			LVDS3B_19n	No	BB8	DQ118	DQ59	DQ29	DQ14
3B	10	VREFB3BN0	IO			LVDS3B_19p	No	BB9	DQ118	DQ59	DQ29	DQ14
3B	9	VREFB3BN0	IO			LVDS3B_20n	Yes	BB10	DQSn118	DQ59	DQ29	DQ14
3B	8	VREFB3BN0	IO			LVDS3B_20p	Yes	BA10	DQS118	DQ59	DQ29	DQ14
3B	7	VREFB3BN0	IO			LVDS3B_21n	No	BD10	DQ118	DQ59	DQ29	DQ14
3B	6	VREFB3BN0	IO			LVDS3B_21p	No	BC10	DQ118	DQ59	DQ29	DQ14
3B	5	VREFB3BN0	IO			LVDS3B_22n	Yes	BD11	DQSn119	DQSn59/CQn59	DQ29	DQ14
3B	4	VREFB3BN0	IO			LVDS3B_22p	Yes	BC11	DQS119	DQS59/CQ59	DQ29	DQ14
3B	3	VREFB3BN0	IO			LVDS3B_23n	No	BC12	DQ119	DQ59	DQ29	DQ14
3B	2	VREFB3BN0	IO			LVDS3B_23p	No	BC13	DQ119	DQ59	DQ29	DQ14
3B	1	VREFB3BN0	IO			LVDS3B_24n	Yes	BB13	DQ119	DQ59	DQ29	DQ14
3B	0	VREFB3BN0	IO			LVDS3B_24p	Yes	BB14	DQ119	DQ59	DQ29	DQ14
3A	47	VREFB3AN0	IO			LVDS3A_1n	No	AT19	DQ120	DQ60	DQ30	DQ15
3A	46	VREFB3AN0	IO			LVDS3A_1p	No	AU19	DQ120	DQ60	DQ30	DQ15
3A	45	VREFB3AN0	IO			LVDS3A_2n	Yes	AM19	DQSn120	DQ60	DQ30	DQ15
3A	44	VREFB3AN0	IO			LVDS3A_2p	Yes	AM20	DQS120	DQ60	DQ30	DQ15
3A	43	VREFB3AN0	IO			LVDS3A_3n	No	AR19	DQ120	DQ60	DQ30	DQ15
3A	42	VREFB3AN0	IO			LVDS3A_3p	No	AP19	DQ120	DQ60	DQ30	DQ15
3A	41	VREFB3AN0	IO			LVDS3A_4n	Yes	AU18	DQSn121	DQSn60/CQn60	DQ30	DQ15
3A	40	VREFB3AN0	IO			LVDS3A_4p	Yes	AV18	DQS121	DQS60/CQ60	DQ30	DQ15
3A	39	VREFB3AN0	IO			LVDS3A_5n	No	AM18	DQ121	DQ60	DQ30	DQ15
3A	38	VREFB3AN0	IO			LVDS3A_5p	No	AM17	DQ121	DQ60	DQ30	DQ15
3A	37	VREFB3AN0	IO			LVDS3A_6n	Yes	AR18	DQ121	DQ60	DQSn30/CQn30	DQ15
3A	36	VREFB3AN0	IO			LVDS3A_6p	Yes	AP18	DQ121	DQ60	DQS30/CQ30	DQ15
3A	35	VREFB3AN0	IO			LVDS3A_7n	No	BC17	DQ122	DQ61	DQ30	DQ15
3A	34	VREFB3AN0	IO			LVDS3A_7p	No	BC16	DQ122	DQ61	DQ30	DQ15
3A	33	VREFB3AN0	IO			LVDS3A_8n	Yes	BD16	DQSn122	DQ61	DQ30	DQ15
3A	32	VREFB3AN0	IO			LVDS3A_8p	Yes	BD15	DQS122	DQ61	DQ30	DQ15
3A	31	VREFB3AN0	IO			LVDS3A_9n	No	BD18	DQ122	DQ61	DQ30	DQ15
3A	30	VREFB3AN0	IO			LVDS3A_9p	No	BC18	DQ122	DQ61	DQ30	DQ15
3A	29	VREFB3AN0	IO	PLL_3A_CLKOUT1n		LVDS3A_10n	Yes	BD14	DQSn123	DQSn61/CQn61	DQ30	DQ15
3A	28	VREFB3AN0	IO	"PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1"		LVDS3A_10p	Yes	BD13	DQS123	DQS61/CQ61	DQ30	DQ15
3A	27	VREFB3AN0	IO			LVDS3A_11n	No	BC15	DQ123	DQ61	DQ30	DQ15
3A	26	VREFB3AN0	IO	RZQ_3A		LVDS3A_11p	No	BB15	DQ123	DQ61	DQ30	DQ15
3A	25	VREFB3AN0	IO	CLK_3A_1n		LVDS3A_12n	Yes	BB17	DQ123	DQ61	DQ30	DQ15
3A	24	VREFB3AN0	IO	CLK_3A_1p		LVDS3A_12p	Yes	BB18	DQ123	DQ61	DQ30	DQ15
3A	23	VREFB3AN0	IO	CLK_3A_0n		LVDS3A_13n	No	AY18	DQ124	DQ62	DQ31	DQ15
3A	22	VREFB3AN0	IO	CLK_3A_0p		LVDS3A_13p	No	AW18	DQ124	DQ62	DQ31	DQ15
3A	21	VREFB3AN0	IO			LVDS3A_14n	Yes	AY16	DQSn124	DQ62	DQ31	DQSn15/CQn15
3A	20	VREFB3AN0	IO			LVDS3A_14p	Yes	AW16	DQS124	DQ62	DQ31	DQS15/CQ15
3A	19	VREFB3AN0	IO	PLL_3A_CLKOUT0n		LVDS3A_15n	No	BA17	DQ124	DQ62	DQ31	DQ15
3A	18	VREFB3AN0	IO	"PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0"		LVDS3A_15p	No	AY17	DQ124	DQ62	DQ31	DQ15
3A	17	VREFB3AN0	IO			LVDS3A_16n	Yes	BA16	DQSn125	DQSn62/CQn62	DQ31	DQ15
3A	16	VREFB3AN0	IO			LVDS3A_16p	Yes	BA15	DQS125	DQS62/CQ62	DQ31	DQ15
3A	15	VREFB3AN0	IO			LVDS3A_17n	No	AV15	DQ125	DQ62	DQ31	DQ15
3A	14	VREFB3AN0	IO			LVDS3A_17p	No	AU15	DQ125	DQ62	DQ31	DQ15
3A	13	VREFB3AN0	IO			LVDS3A_18n	Yes	AV17	DQ125	DQ62	DQSn31/CQn31	DQ15
3A	12	VREFB3AN0	IO			LVDS3A_18p	Yes	AV16	DQ125	DQ62	DQS31/CQ31	DQ15
3A	11	VREFB3AN0	IO			LVDS3A_19n	No	AU17	DQ126	DQ63	DQ31	DQ15
3A	10	VREFB3AN0	IO			LVDS3A_19p	No	AT17	DQ126	DQ63	DQ31	DQ15
3A	9	VREFB3AN0	IO			LVDS3A_20n	Yes	AR17	DQSn126	DQ63	DQ31	DQ15
3A	8	VREFB3AN0	IO			LVDS3A_20p	Yes	AR16	DQS126	DQ63	DQ31	DQ15
3A	7	VREFB3AN0	IO			LVDS3A_21n	No	AM15	DQ126	DQ63	DQ31	DQ15
3A	6	VREFB3AN0	IO			LVDS3A_21p	No	AN15	DQ126	DQ63	DQ31	DQ15
3A	5	VREFB3AN0	IO			LVDS3A_22n	Yes	AT16	DQSn127	DQSn63/CQn63	DQ31	DQ15
3A	4	VREFB3AN0	IO			LVDS3A_22p	Yes	AT15	DQS127	DQS63/CQ63	DQ31	DQ15
3A	3	VREFB3AN0	IO			LVDS3A_23n	No	AN17	DQ127	DQ63	DQ31	DQ15
3A	2	VREFB3AN0	IO			LVDS3A_23p	No	AN16	DQ127	DQ63	DQ31	DQ15
3A	1	VREFB3AN0	IO			LVDS3A_24n	Yes	AP15	DQ127	DQ63	DQ31	DQ15
3A	0	VREFB3AN0	IO			LVDS3A_24p	Yes	AP16	DQ127	DQ63	DQ31	DQ15
4F			REFCLK_GXBR4F_CHTp					T5				
4F			REFCLK_GXBR4F_CHTn					T6				
4F			GXBR4F_TX_CH5n					A4				
4F			GXBR4F_TX_CH5p					A3				
4F			"GXBR4F_RX_CH5n,GXBR4F_REFCLK5n"					B6				
4F			"GXBR4F_RX_CH5p,GXBR4F_REFCLK5p"					B5				
4F			GXBR4F_TX_CH4n					B2				
4F			GXBR4F_TX_CH4p					B1				
4F			"GXBR4F_RX_CH4n,GXBR4F_REFCLK4n"					C4				
4F			"GXBR4F_RX_CH4p,GXBR4F_REFCLK4p"					C3				
4F			GXBR4F_TX_CH3n					D2				
4F			GXBR4F_TX_CH3p					D1				
4F			"GXBR4F_RX_CH3n,GXBR4F_REFCLK3n"					D6				
4F			"GXBR4F_RX_CH3p,GXBR4F_REFCLK3p"					D5				
4F			GXBR4F_TX_CH2n					F2				
4F			GXBR4F_TX_CH2p					F1				
4F			"GXBR4F_RX_CH2n,GXBR4F_REFCLK2n"					E4				
4F			"GXBR4F_RX_CH2p,GXBR4F_REFCLK2p"					E3				
4F			GXBR4F_TX_CH1n					H2				
4F			GXBR4F_TX_CH1p					H1				
4F			"GXBR4F_RX_CH1n,GXBR4F_REFCLK1n"					G4				
4F			"GXBR4F_RX_CH1p,GXBR4F_REFCLK1p"					G3				
4F			GXBR4F_TX_CH0n					K2				
4F			GXBR4F_TX_CH0p					K1				
4F			"GXBR4F_RX_CH0n,GXBR4F_REFCLK0n"					J4				
4F			"GXBR4F_RX_CH0p,GXBR4F_REFCLK0p"					J3				
4F			REFCLK_GXBR4F_CHBp					V5				
4F			REFCLK_GXBR4F_CHBn					V6				
4E			REFCLK_GXBR4E_CHTp					Y5				
4E			REFCLK_GXBR4E_CHTn					Y6				
4E			GXBR4E_TX_CH5n					M2				
4E			GXBR4E_TX_CH5p					M1				
4E			"GXBR4E_RX_CH5n,GXBR4E_REFCLK5n"					L4				
4E			"GXBR4E_RX_CH5p,GXBR4E_REFCLK5p"					L3				
4E			GXBR4E_TX_CH4n					P2				
4E			GXBR4E_TX_CH4p					P1				
4E			"GXBR4E_RX_CH4n,GXBR4E_REFCLK4n"					N4				
4E			"GXBR4E_RX_CH4p,GXBR4E_REFCLK4p"					N3				
4E			GXBR4E_TX_CH3n					T2				
4E			GXBR4E_TX_CH3p					T1				
4E			"GXBR4E_RX_CH3n,GXBR4E_REFCLK3n"					R4				
4E			"GXBR4E_RX_CH3p,GXBR4E_REFCLK3p"					R3				
4E			GXBR4E_TX_CH2n					V2				
4E			GXBR4E_TX_CH2p					V1				
4E			"GXBR4E_RX_CH2n,GXBR4E_REFCLK2n"					U4				
4E			"GXBR4E_RX_CH2p,GXBR4E_REFCLK2p"					U3				
4E			GXBR4E_TX_CH1n					Y2				
4E			GXBR4E_TX_CH1p					Y1				
4E			"GXBR4E_RX_CH1n,GXBR4E_REFCLK1n"					W4				
4E			"GXBR4E_RX_CH1p,GXBR4E_REFCLK1p"					W3				
4E			GXBR4E_TX_CH0n					AB2				
4E			GXBR4E_TX_CH0p					AB1				
4E			"GXBR4E_RX_CH0n,GXBR4E_REFCLK0n"					AA4				
4E			"GXBR4E_RX_CH0p,GXBR4E_REFCLK0p"					AA3				
4E			REFCLK_GXBR4E_CHBp					AB5				
4E			REFCLK_GXBR4E_CHBn					AB6				
4D			REFCLK_GXBR4D_CHTp					AD5				
4D			REFCLK_GXBR4D_CHTn					AD6				
4D			GXBR4D_TX_CH5n					AD2				
4D			GXBR4D_TX_CH5p					AD1				
4D			"GXBR4D_RX_CH5n,GXBR4D_REFCLK5n"					AC4				
4D			"GXBR4D_RX_CH5p,GXBR4D_REFCLK5p"					AC3				
4D			GXBR4D_TX_CH4n					AF2				
4D			GXBR4D_TX_CH4p					AF1				
4D			"GXBR4D_RX_CH4n,GXBR4D_REFCLK4n"					AE4				
4D			"GXBR4D_RX_CH4p,GXBR4D_REFCLK4p"					AE3				
4D			GXBR4D_TX_CH3n					AH2				
4D			GXBR4D_TX_CH3p					AH1				
4D			"GXBR4D_RX_CH3n,GXBR4D_REFCLK3n"					AG4				
4D			"GXBR4D_RX_CH3p,GXBR4D_REFCLK3p"					AG3				
4D			GXBR4D_TX_CH2n					AK2				
4D			GXBR4D_TX_CH2p					AK1				
4D			"GXBR4D_RX_CH2n,GXBR4D_REFCLK2n"					AJ4				
4D			"GXBR4D_RX_CH2p,GXBR4D_REFCLK2p"					AJ3				
4D			GXBR4D_TX_CH1n					AM2				
4D			GXBR4D_TX_CH1p					AM1				
4D			"GXBR4D_RX_CH1n,GXBR4D_REFCLK1n"					AL4				
4D			"GXBR4D_RX_CH1p,GXBR4D_REFCLK1p"					AL3				
4D			GXBR4D_TX_CH0n					AP2				
4D			GXBR4D_TX_CH0p					AP1				
4D			"GXBR4D_RX_CH0n,GXBR4D_REFCLK0n"					AN4				
4D			"GXBR4D_RX_CH0p,GXBR4D_REFCLK0p"					AN3				
4D			REFCLK_GXBR4D_CHBp					AF5				
4D			REFCLK_GXBR4D_CHBn					AF6				
4C			REFCLK_GXBR4C_CHTp					AH5				
4C			REFCLK_GXBR4C_CHTn					AH6				
4C			GXBR4C_TX_CH5n					AT2				
4C			GXBR4C_TX_CH5p					AT1				
4C			"GXBR4C_RX_CH5n,GXBR4C_REFCLK5n"					AR4				
4C			"GXBR4C_RX_CH5p,GXBR4C_REFCLK5p"					AR3				
4C			GXBR4C_TX_CH4n					AV2				
4C			GXBR4C_TX_CH4p					AV1				
4C			"GXBR4C_RX_CH4n,GXBR4C_REFCLK4n"					AU4				
4C			"GXBR4C_RX_CH4p,GXBR4C_REFCLK4p"					AU3				
4C			GXBR4C_TX_CH3n					AY2				
4C			GXBR4C_TX_CH3p					AY1				
4C			"GXBR4C_RX_CH3n,GXBR4C_REFCLK3n"					AW4				
4C			"GXBR4C_RX_CH3p,GXBR4C_REFCLK3p"					AW3				
4C			GXBR4C_TX_CH2n					BB2				
4C			GXBR4C_TX_CH2p					BB1				
4C			"GXBR4C_RX_CH2n,GXBR4C_REFCLK2n"					BA4				
4C			"GXBR4C_RX_CH2p,GXBR4C_REFCLK2p"					BA3				
4C			GXBR4C_TX_CH1n					BC4				
4C			GXBR4C_TX_CH1p					BC3				
4C			"GXBR4C_RX_CH1n,GXBR4C_REFCLK1n"					AY6				
4C			"GXBR4C_RX_CH1p,GXBR4C_REFCLK1p"					AY5				
4C			GXBR4C_TX_CH0n					BD6				
4C			GXBR4C_TX_CH0p					BD5				
4C			"GXBR4C_RX_CH0n,GXBR4C_REFCLK0n"					BB6				
4C			"GXBR4C_RX_CH0p,GXBR4C_REFCLK0p"					BB5				
4C			REFCLK_GXBR4C_CHBp					AK5				
4C			REFCLK_GXBR4C_CHBn					AK6				
			GND					AR22				
CSS			TDO		TDO			AY21				
CSS			TMS		TMS			AV22				
CSS			TRST		TRST			AW19				
CSS			TCK		TCK			AP23				
CSS			TDI		TDI			AY22				
CSS			MSEL0		MSEL0			AT20				
CSS			MSEL1		MSEL1			AM23				
CSS			MSEL2		MSEL2			AT21				
CSS			nIO_PULLUP		nIO_PULLUP			AT22				
CSS			nSTATUS		nSTATUS			AP20				
CSS			CONF_DONE		CONF_DONE			AN20				
			GND					AY19				
CSS			nCONFIG		nCONFIG			AV23				
CSS			nCE		nCE			AW23				
CSS			nCSO0		nCSO0			AU20				
CSS			nCSO1		nCSO1			AV20				
CSS			nCSO2		nCSO2			AN21				
CSS			"AS_DATA0,ASDO"		"AS_DATA0,ASDO"			AP21				
CSS			AS_DATA1		AS_DATA1			AV21				
CSS			AS_DATA2		AS_DATA2			AW21				
CSS			AS_DATA3		AS_DATA3			AW20				
CSS			DCLK		DCLK			AR21				
			ADCGND					P20				
			GND					A13				
			GND					A18				
			GND					A2				
			GND					A23				
			GND					A28				
			GND					A33				
			GND					A36				
			GND					A38				
			GND					A39				
			GND					A40				
			GND					A43				
			GND					A5				
			GND					A6				
			GND					A7				
			GND					A9				
			GND					AA1				
			GND					AA13				
			GND					AA18				
			GND					AA2				
			GND					AA23				
			GND					AA28				
			GND					AA37				
			GND					AA38				
			GND					AA43				
			GND					AA44				
			GND					AA7				
			GND					AA8				
			GND					AB16				
			GND					AB21				
			GND					AB26				
			GND					AB3				
			GND					AB36				
			GND					AB37				
			GND					AB38				
			GND					AB4				
			GND					AB41				
			GND					AB42				
			GND					AB7				
			GND					AB8				
			GND					AC1				
			GND					AC14				
			GND					AC19				
			GND					AC2				
			GND					AC24				
			GND					AC29				
			GND					AC37				
			GND					AC43				
			GND					AC44				
			GND					AC8				
			GND					AD12				
			GND					AD17				
			GND					AD22				
			GND					AD27				
			GND					AD3				
			GND					AD32				
			GND					AD37				
			GND					AD38				
			GND					AD4				
			GND					AD41				
			GND					AD42				
			GND					AD7				
			GND					AD8				
			GND					AE1				
			GND					AE10				
			GND					AE15				
			GND					AE2				
			GND					AE20				
			GND					AE25				
			GND					AE30				
			GND					AE35				
			GND					AE37				
			GND					AE38				
			GND					AE43				
			GND					AE44				
			GND					AE7				
			GND					AE8				
			GND					AF18				
			GND					AF23				
			GND					AF28				
			GND					AF3				
			GND					AF33				
			GND					AF37				
			GND					AF38				
			GND					AF4				
			GND					AF41				
			GND					AF42				
			GND					AF7				
			GND					AF8				
			GND					AG1				
			GND					AG11				
			GND					AG16				
			GND					AG2				
			GND					AG21				
			GND					AG26				
			GND					AG31				
			GND					AG32				
			GND					AG37				
			GND					AG43				
			GND					AG44				
			GND					AG8				
			GND					AH19				
			GND					AH24				
			GND					AH29				
			GND					AH3				
			GND					AH34				
			GND					AH37				
			GND					AH38				
			GND					AH4				
			GND					AH41				
			GND					AH42				
			GND					AH7				
			GND					AH8				
			GND					AH9				
			GND					AJ1				
			GND					AJ12				
			GND					AJ17				
			GND					AJ2				
			GND					AJ22				
			GND					AJ27				
			GND					AJ37				
			GND					AJ38				
			GND					AJ43				
			GND					AJ44				
			GND					AJ7				
			GND					AJ8				
			GND					AK10				
			GND					AK15				
			GND					AK20				
			GND					AK25				
			GND					AK3				
			GND					AK30				
			GND					AK38				
			GND					AK4				
			GND					AK41				
			GND					AK42				
			GND					AK7				
			GND					AK8				
			GND					AL1				
			GND					AL18				
			GND					AL2				
			GND					AL23				
			GND					AL28				
			GND					AL38				
			GND					AL39				
			GND					AL40				
			GND					AL43				
			GND					AL44				
			GND					AL5				
			GND					AL6				
			GND					AL7				
			GND					AL8				
			GND					AM11				
			GND					AM16				
			GND					AM21				
			GND					AM26				
			GND					AM3				
			GND					AM36				
			GND					AM4				
			GND					AM40				
			GND					AM41				
			GND					AM42				
			GND					AM5				
			GND					AN1				
			GND					AN19				
			GND					AN2				
			GND					AN24				
			GND					AN34				
			GND					AN39				
			GND					AN40				
			GND					AN43				
			GND					AN44				
			GND					AN5				
			GND					AN9				
			GND					AP12				
			GND					AP17				
			GND					AP22				
			GND					AP3				
			GND					AP32				
			GND					AP37				
			GND					AP4				
			GND					AP40				
			GND					AP41				
			GND					AP42				
			GND					AP5				
			GND					AP7				
			GND					AR1				
			GND					AR10				
			GND					AR15				
			GND					AR2				
			GND					AR20				
			GND					AR35				
			GND					AR40				
			GND					AR43				
			GND					AR44				
			GND					AR5				
			GND					AT18				
			GND					AT23				
			GND					AT28				
			GND					AT3				
			GND					AT33				
			GND					AT38				
			GND					AT4				
			GND					AT40				
			GND					AT41				
			GND					AT42				
			GND					AT5				
			GND					AT8				
			GND					AU1				
			GND					AU11				
			GND					AU16				
			GND					AU2				
			GND					AU21				
			GND					AU31				
			GND					AU36				
			GND					AU40				
			GND					AU43				
			GND					AU44				
			GND					AU5				
			GND					AU6				
			GND					AV19				
			GND					AV29				
			GND					AV3				
			GND					AV34				
			GND					AV39				
			GND					AV4				
			GND					AV40				
			GND					AV41				
			GND					AV42				
			GND					AV5				
			GND					AV9				
			GND					AW1				
			GND					AW12				
			GND					AW2				
			GND					AW22				
			GND					AW27				
			GND					AW32				
			GND					AW37				
			GND					AW38				
			GND					AW39				
			GND					AW40				
			GND					AW43				
			GND					AW44				
			GND					AW5				
			GND					AW6				
			GND					AW7				
			GND					AY10				
			GND					AY20				
			GND					AY25				
			GND					AY3				
			GND					AY30				
			GND					AY35				
			GND					AY38				
			GND					AY4				
			GND					AY41				
			GND					AY42				
			GND					AY7				
			GND					B11				
			GND					B16				
			GND					B21				
			GND					B26				
			GND					B3				
			GND					B31				
			GND					B36				
			GND					B37				
			GND					B38				
			GND					B4				
			GND					B41				
			GND					B42				
			GND					B7				
			GND					B8				
			GND					B9				
			GND					BA1				
			GND					BA13				
			GND					BA2				
			GND					BA23				
			GND					BA28				
			GND					BA33				
			GND					BA38				
			GND					BA39				
			GND					BA40				
			GND					BA43				
			GND					BA44				
			GND					BA5				
			GND					BA6				
			GND					BA7				
			GND					BA8				
			GND					BB11				
			GND					BB16				
			GND					BB21				
			GND					BB26				
			GND					BB3				
			GND					BB31				
			GND					BB36				
			GND					BB38				
			GND					BB4				
